
## Per-Detector Timing

| Rank | Detector | Total ms | Calls | Avg ms | % Scan |
| 138 | DefaultCaseInCaseStatement | 0 | 4185 | 0,00 | 0,0% |
| 139 | TrailingWhitespace | 0 | 13355 | 0,00 | 0,0% |
| 140 | RaisingRawException | 0 | 13355 | 0,00 | 0,0% |
| 141 | MagicNumber | 0 | 13355 | 0,00 | 0,0% |
| 142 | CommandInjection | 0 | 347 | 0,00 | 0,0% |
| 143 | AttributeCategoryWithoutString | 0 | 15 | 0,00 | 0,0% |
| 144 | LongParamList | 0 | 13355 | 0,00 | 0,0% |
| 145 | WithMultipleTargets | 0 | 13355 | 0,00 | 0,0% |
| 146 | InheritedMethodEmpty | 0 | 13355 | 0,00 | 0,0% |
| 147 | ExceptInDestructor | 0 | 13355 | 0,00 | 0,0% |
| 148 | ConstructorWithoutInherited | 0 | 13355 | 0,00 | 0,0% |
| 149 | LongMethod | 0 | 13355 | 0,00 | 0,0% |
| 150 | CyclomaticComplexity | 0 | 13355 | 0,00 | 0,0% |
| 151 | EmptyMethod | 0 | 13355 | 0,00 | 0,0% |

Total: 118623 ms over 151 detectors
